Parliamentary Constituency 2008 Code,Parliamentary Constituency 2008 Label,Qualifications (Highest Level) - 7 Categories Code,Qualifications (Highest Level) - 7 Categories Label,Count
N06000010,Mid Ulster,2,"Level 2: 5 or more GCSEs (A*-C or 9-4), O levels (passes) CSEs (grade 1); 1 A level, 2-3 AS Levels; NVQ level 2, BTEC General, City and Guilds Craft; or equivalent",10988
N06000010,Mid Ulster,3,"Level 3: 2 or more A Levels, 4 or more AS Levels; NVQ Level 3, BTEC National, OND, ONC, City and Guilds Advanced Craft; or equivalent",12862
N06000010,Mid Ulster,4,"Level 4 and above: Degree (BA, BSc), foundation degree, NVQ Level 4 and above, HND, HNC, professional qualifications (teaching or nursing, for example), or equivalent",24099
N06000010,Mid Ulster,5,"Other: Apprenticeships; other qualifications, equivalent unknown",7725
N06000010,Mid Ulster,-8,No code required,24529
N06000011,Newry And Armagh,0,No qualifications,24816
N06000011,Newry And Armagh,1,"Level 1: 1 to 4 GCSEs, O levels, CSEs (any grades); 1 AS Level; NVQ level 1; or equivalent",4893
N06000011,Newry And Armagh,2,"Level 2: 5 or more GCSEs (A*-C or 9-4), O levels (passes) CSEs (grade 1); 1 A level, 2-3 AS Levels; NVQ level 2, BTEC General, City and Guilds Craft; or equivalent",12634
N06000011,Newry And Armagh,3,"Level 3: 2 or more A Levels, 4 or more AS Levels; NVQ Level 3, BTEC National, OND, ONC, City and Guilds Advanced Craft; or equivalent",14710
N06000011,Newry And Armagh,4,"Level 4 and above: Degree (BA, BSc), foundation degree, NVQ Level 4 and above, HND, HNC, professional qualifications (teaching or nursing, for example), or equivalent",29008
N06000011,Newry And Armagh,5,"Other: Apprenticeships; other qualifications, equivalent unknown",8877
N06000011,Newry And Armagh,-8,No code required,28116
N06000012,North Antrim,0,No qualifications,24089
N06000012,North Antrim,1,"Level 1: 1 to 4 GCSEs, O levels, CSEs (any grades); 1 AS Level; NVQ level 1; or equivalent",5232
N06000012,North Antrim,2,"Level 2: 5 or more GCSEs (A*-C or 9-4), O levels (passes) CSEs (grade 1); 1 A level, 2-3 AS Levels; NVQ level 2, BTEC General, City and Guilds Craft; or equivalent",12645
N06000012,North Antrim,3,"Level 3: 2 or more A Levels, 4 or more AS Levels; NVQ Level 3, BTEC National, OND, ONC, City and Guilds Advanced Craft; or equivalent",14101
N06000012,North Antrim,4,"Level 4 and above: Degree (BA, BSc), foundation degree, NVQ Level 4 and above, HND, HNC, professional qualifications (teaching or nursing, for example), or equivalent",25275
N06000012,North Antrim,5,"Other: Apprenticeships; other qualifications, equivalent unknown",8567
N06000012,North Antrim,-8,No code required,22353
N06000013,North Down,0,No qualifications,13114
N06000013,North Down,1,"Level 1: 1 to 4 GCSEs, O levels, CSEs (any grades); 1 AS Level; NVQ level 1; or equivalent",4803
N06000013,North Down,2,"Level 2: 5 or more GCSEs (A*-C or 9-4), O levels (passes) CSEs (grade 1); 1 A level, 2-3 AS Levels; NVQ level 2, BTEC General, City and Guilds Craft; or equivalent",10841
N06000013,North Down,3,"Level 3: 2 or more A Levels, 4 or more AS Levels; NVQ Level 3, BTEC National, OND, ONC, City and Guilds Advanced Craft; or equivalent",12134
N06000013,North Down,4,"Level 4 and above: Degree (BA, BSc), foundation degree, NVQ Level 4 and above, HND, HNC, professional qualifications (teaching or nursing, for example), or equivalent",28832
N06000013,North Down,5,"Other: Apprenticeships; other qualifications, equivalent unknown",6498
N06000013,North Down,-8,No code required,16948
N06000014,South Antrim,0,No qualifications,17471
N06000014,South Antrim,1,"Level 1: 1 to 4 GCSEs, O levels, CSEs (any grades); 1 AS Level; NVQ level 1; or equivalent",5436
N06000014,South Antrim,2,"Level 2: 5 or more GCSEs (A*-C or 9-4), O levels (passes) CSEs (grade 1); 1 A level, 2-3 AS Levels; NVQ level 2, BTEC General, City and Guilds Craft; or equivalent",12647
N06000014,South Antrim,3,"Level 3: 2 or more A Levels, 4 or more AS Levels; NVQ Level 3, BTEC National, OND, ONC, City and Guilds Advanced Craft; or equivalent",14308
N06000014,South Antrim,4,"Level 4 and above: Degree (BA, BSc), foundation degree, NVQ Level 4 and above, HND, HNC, professional qualifications (teaching or nursing, for example), or equivalent",26931
N06000014,South Antrim,5,"Other: Apprenticeships; other qualifications, equivalent unknown",7585
N06000014,South Antrim,-8,No code required,22011
N06000015,South Down,0,No qualifications,19448
N06000015,South Down,1,"Level 1: 1 to 4 GCSEs, O levels, CSEs (any grades); 1 AS Level; NVQ level 1; or equivalent",4675
N06000015,South Down,2,"Level 2: 5 or more GCSEs (A*-C or 9-4), O levels (passes) CSEs (grade 1); 1 A level, 2-3 AS Levels; NVQ level 2, BTEC General, City and Guilds Craft; or equivalent",12162
N06000015,South Down,3,"Level 3: 2 or more A Levels, 4 or more AS Levels; NVQ Level 3, BTEC National, OND, ONC, City and Guilds Advanced Craft; or equivalent",14998
N06000015,South Down,4,"Level 4 and above: Degree (BA, BSc), foundation degree, NVQ Level 4 and above, HND, HNC, professional qualifications (teaching or nursing, for example), or equivalent",28633
N06000015,South Down,5,"Other: Apprenticeships; other qualifications, equivalent unknown",9223
N06000015,South Down,-8,No code required,25147
N06000016,Strangford,0,No qualifications,16325
N06000016,Strangford,1,"Level 1: 1 to 4 GCSEs, O levels, CSEs (any grades); 1 AS Level; NVQ level 1; or equivalent",5310
N06000016,Strangford,2,"Level 2: 5 or more GCSEs (A*-C or 9-4), O levels (passes) CSEs (grade 1); 1 A level, 2-3 AS Levels; NVQ level 2, BTEC General, City and Guilds Craft; or equivalent",11483
N06000016,Strangford,3,"Level 3: 2 or more A Levels, 4 or more AS Levels; NVQ Level 3, BTEC National, OND, ONC, City and Guilds Advanced Craft; or equivalent",12472
N06000016,Strangford,4,"Level 4 and above: Degree (BA, BSc), foundation degree, NVQ Level 4 and above, HND, HNC, professional qualifications (teaching or nursing, for example), or equivalent",23317
N06000016,Strangford,5,"Other: Apprenticeships; other qualifications, equivalent unknown",7708
N06000016,Strangford,-8,No code required,17053
N06000017,Upper Bann,0,No qualifications,26112
N06000017,Upper Bann,1,"Level 1: 1 to 4 GCSEs, O levels, CSEs (any grades); 1 AS Level; NVQ level 1; or equivalent",6202
N06000017,Upper Bann,2,"Level 2: 5 or more GCSEs (A*-C or 9-4), O levels (passes) CSEs (grade 1); 1 A level, 2-3 AS Levels; NVQ level 2, BTEC General, City and Guilds Craft; or equivalent",14350
N06000017,Upper Bann,3,"Level 3: 2 or more A Levels, 4 or more AS Levels; NVQ Level 3, BTEC National, OND, ONC, City and Guilds Advanced Craft; or equivalent",15437
N06000017,Upper Bann,4,"Level 4 and above: Degree (BA, BSc), foundation degree, NVQ Level 4 and above, HND, HNC, professional qualifications (teaching or nursing, for example), or equivalent",29968
N06000017,Upper Bann,5,"Other: Apprenticeships; other qualifications, equivalent unknown",9066
N06000017,Upper Bann,-8,No code required,28385
N06000018,West Tyrone,0,No qualifications,21150
N06000018,West Tyrone,1,"Level 1: 1 to 4 GCSEs, O levels, CSEs (any grades); 1 AS Level; NVQ level 1; or equivalent",4090
N06000018,West Tyrone,2,"Level 2: 5 or more GCSEs (A*-C or 9-4), O levels (passes) CSEs (grade 1); 1 A level, 2-3 AS Levels; NVQ level 2, BTEC General, City and Guilds Craft; or equivalent",9571
N06000018,West Tyrone,3,"Level 3: 2 or more A Levels, 4 or more AS Levels; NVQ Level 3, BTEC National, OND, ONC, City and Guilds Advanced Craft; or equivalent",11125
N06000018,West Tyrone,4,"Level 4 and above: Degree (BA, BSc), foundation degree, NVQ Level 4 and above, HND, HNC, professional qualifications (teaching or nursing, for example), or equivalent",21209
N06000018,West Tyrone,5,"Other: Apprenticeships; other qualifications, equivalent unknown",6061
N06000018,West Tyrone,-8,No code required,19784
